Genus	Family	Order	Class	Origin	bodysize	FoodPl	FoodAni	FoodFg	FoodDet	GetFood	IngestFood	ActDay	ActNig	ActTwi	Dispersal	
He248NP	Saldula	Saldidae	Hemiptera	Insecta	IND	4.5	0	1	0	0	GetHact 	IngestPS	0	1	0	Hdsip
He254NH	Megamelodes	Delphacidae	Hemiptera	Insecta	IND	3	1	0	0	0	GetHact 	IngestPS	1	0	0	Hdsip
Co262NP	Rugilus	Staphylinidae	Coleoptera	Insecta	IND	4	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co303NP	Pterostichus	Carabidae	Coleoptera	Insecta	IND	9	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co343NP	Quedius	Staphylinidae	Coleoptera	Insecta	IND	11	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co377NP	Carpelimus	Staphylinidae	Coleoptera	Insecta	IND	3	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co385NP	Calosoma	Carabidae	Coleoptera	Insecta	IND	23	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co395NH	Psylliodes	Chrysomelidae	Coleoptera	Insecta	IND	2.56	1	0	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Co475NP	Habrocerus	Staphylinidae	Coleoptera	Insecta	IND	3.55	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co504NS	Pseudoplectus	Staphylinidae	Coleoptera	Insecta	IND	0.92	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Ar516NP	Clubiona	Clubionidae	Araneae	Arachnida	IND	6	0	1	0	0	GetHact 	IngestEDS	0	1	0	Ldisp
Co541NS	Hirticollis	Anthicidae	Coleoptera	Insecta	IND	2.61	1	1	1	0	GetHact 	IngestCC	1	1	1	Hdsip
Co551NP	Scopaeus	Staphylinidae	Coleoptera	Insecta	IND	1.72	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co646NP	Scymnus	Coccinellidae	Coleoptera	Insecta	IND	2	0	1	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Co661NS	Gen	Phalacridae	Coleoptera	Insecta	IND	1.34	1	0	1	0	GetHact 	IngestCC	1	0	0	Hdsip
Co685NP	Stenolophus	Carabidae	Coleoptera	Insecta	IND	7	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co734NH	Chrysolina	Chrysomelidae	Coleoptera	Insecta	IND	11.78	1	0	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Co771NP	Astenus	Staphylinidae	Coleoptera	Insecta	IND	4	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
He890NH	Euscelidius	Cicadellidae	Hemiptera	Insecta	IND	3.56	1	0	0	0	GetHact 	IngestPS	1	0	0	Hdsip
He926NH	Anoscopus	Cicadellidae	Hemiptera	Insecta	IND	4	1	0	0	0	GetHact 	IngestPS	1	0	0	Hdsip
Co985NP	Tachyporus	Staphylinidae	Coleoptera	Insecta	IND	3.36	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Li1006NP	Lithobius	Lithobiidae	Lithobiomorpha	Chilopoda	IND	8.97	0	1	0	0	GetHact 	IngestCC	0	1	0	Ldisp
Le1038NH	Gen	Noctuidae	Lepidoptera	Insecta	IND	18.77	1	0	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Le10NH	Mythimna	Noctuidae	Lepidoptera	Insecta	IND	21.01	1	0	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Le220NH	Noctua	Noctuidae	Lepidoptera	Insecta	IND	24.96	1	0	0	0	GetLact 	IngestCC	1	1	1	Hdsip
Le252NH	Gen	Crambidae	Lepidoptera	Insecta	IND	1.54	1	0	0	0	GetHact 	IngestCC	0	1	0	Ldisp
Le269NH	Agrotis	Noctuidae	Lepidoptera	Insecta	IND	34	1	0	0	0	GetHact 	IngestCC	0	1	0	Ldisp
Le345NH	Gen	Noctuidae	Lepidoptera	Insecta	IND	28	1	0	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Le485NH	Gen	Noctuidae	Lepidoptera	Insecta	IND	15.96	1	0	0	0	GetHact 	IngestCC	0	1	0	Ldisp
Le892NH	Gen	X	Lepidoptera	Insecta	IND	8.57	1	0	0	0	GetHact 	IngestCC	1	0	0	Ldisp
Ju9IH	Ommatoiulus	Julidae	Julida	Diplopoda	NON_IND	40.04	1	0	0	1	GetHact 	IngestCC	0	1	0	Ldisp
Co16IF	Atheta	Staphylinidae	Coleoptera	Insecta	NON_IND	3	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Ar21IP	Tenuiphantes	Linyphiidae	Araneae	Arachnida	NON_IND	2.65	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Ar22IP	Agyneta	Linyphiidae	Araneae	Arachnida	NON_IND	2.75	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Ar24IP	Mermessus	Linyphiidae	Araneae	Arachnida	NON_IND	2.2	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Ar28IP	Dysdera	Dysderidae	Araneae	Arachnida	NON_IND	13	0	1	0	0	GetHact 	IngestEDS	0	1	0	Ldisp
Co31IH	Otiorhynchus	Curculionidae	Coleoptera	Insecta	NON_IND	11.62	1	0	0	0	GetHact 	IngestCC	0	1	0	Ldisp
Co32IP	Pterostichus	Carabidae	Coleoptera	Insecta	NON_IND	7	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Ar34IP	Erigone	Linyphiidae	Araneae	Arachnida	NON_IND	2.4	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Ps36IS	Lachesilla	Lachesillidae	Psocoptera	Insecta	NON_IND	0.93	1	0	1	0	GetHact 	IngestCC	1	1	1	Hdsip
Po37IS	Polydesmus	Polydesmidae	Polydesmida	Diplopoda	NON_IND	25.38	0	0	0	1	GetHact 	IngestCC	0	1	0	Ldisp
Ps38IP	Chthonius	Chthoniidae	Pseudoscorpiones	Arachnida	NON_IND	2	0	1	0	0	GetHact 	IngestCC	1	1	1	Ldisp
Co40IS	Cercyon	Hydrophilidae	Coleoptera	Insecta	NON_IND	2	0	0	0	1	GetHact 	IngestCC	1	1	1	Hdsip
Co45IP	Anisodactylus	Carabidae	Coleoptera	Insecta	NON_IND	11	1	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Ju48IS	Blaniulus	Blaniulidae	Julida	Diplopoda	NON_IND	6.83	1	0	0	1	GetHact 	IngestCC	0	1	0	Ldisp
Co51IP	Paranchus	Carabidae	Coleoptera	Insecta	NON_IND	10	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co52IP	Cordalia	Staphylinidae	Coleoptera	Insecta	NON_IND	2	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Ju53IS	Proteroiulus	Blaniulidae	Julida	Diplopoda	NON_IND	11.28	1	0	0	1	GetHact 	IngestCC	0	1	0	Ldisp
De56IP	Forficula	Forficulidae	Dermaptera	Insecta	NON_IND	16	1	1	0	0	GetHact 	IngestCC	0	1	0	Ldisp
